DATE,IR3TIB01NOM156N
2005-01-01,1.96
2005-02-01,1.92
2005-03-01,2.02
2005-04-01,2.05
2005-05-01,2.08
2005-06-01,2.15
2005-07-01,2.22
2005-08-01,2.25
2005-09-01,2.35
2005-10-01,2.45
2005-11-01,2.54
2005-12-01,2.55
2006-01-01,2.52
2006-02-01,2.57
2006-03-01,2.72
2006-04-01,2.82
2006-05-01,2.94
2006-06-01,3.03
2006-07-01,3.09
2006-08-01,3.23
2006-09-01,3.37
2006-10-01,3.48
2006-11-01,3.62
2006-12-01,3.8
2007-01-01,3.98
2007-02-01,4.2
2007-03-01,4.43
2007-04-01,4.54
2007-05-01,4.6
2007-06-01,4.75
2007-07-01,4.89
2007-08-01,5.18
2007-09-01,5.51
2007-10-01,5.67
2007-11-01,5.78
2007-12-01,5.96
2008-01-01,5.79
2008-02-01,5.91
2008-03-01,6.18
2008-04-01,6.3
2008-05-01,6.48
2008-06-01,6.41
2008-07-01,6.46
2008-08-01,6.53
2008-09-01,6.82
2008-10-01,6.92
2008-11-01,6.18
2008-12-01,4.64
2009-01-01,3.7
2009-02-01,3.48
2009-03-01,3.17
2009-04-01,2.87
2009-05-01,2.4
2009-06-01,2.1
2009-07-01,1.87
2009-08-01,1.88
2009-09-01,1.93
2009-10-01,2.03
2009-11-01,2.05
2009-12-01,2.08
2010-01-01,2.25
2010-02-01,2.27
2010-03-01,2.3
2010-04-01,2.39
2010-05-01,2.5
2010-06-01,2.67
2010-07-01,2.69
2010-08-01,2.65
2010-09-01,2.64
2010-10-01,2.56
2010-11-01,2.51
2010-12-01,2.59
2011-01-01,2.59
2011-02-01,2.61
2011-03-01,2.62
2011-04-01,2.69
2011-05-01,2.72
2011-06-01,2.85
2011-07-01,2.94
2011-08-01,3.1
2011-09-01,3.08
2011-10-01,3.08
2011-11-01,3.16
2011-12-01,3.02
2012-01-01,2.7
2012-02-01,2.67
2012-03-01,2.43
2012-04-01,2.32
2012-05-01,2.32
2012-06-01,2.34
2012-07-01,2.24
2012-08-01,2.13
2012-09-01,1.96
2012-10-01,1.92
2012-11-01,1.92
2012-12-01,1.87
2013-01-01,1.86
2013-02-01,1.9005
2013-03-01,1.848947368
2013-04-01,1.821428571
2013-05-01,1.763684211
2013-06-01,1.7335
2013-07-01,1.68826087
2013-08-01,1.723181818
2013-09-01,1.713809524
2013-10-01,1.685217391
2013-11-01,1.663333333
2013-12-01,1.658947368
2014-01-01,1.649090909
2014-02-01,1.699
2014-03-01,1.707619048
2014-04-01,1.752105263
2014-05-01,1.819
2014-06-01,1.804
2014-07-01,1.715217391
2014-08-01,1.722380952
2014-09-01,1.700909091
2014-10-01,1.625652174
2014-11-01,1.659
2014-12-01,1.5345
2015-01-01,1.388095238
