date	t/n  	1 week	2 week	1 month	2 month	3 month	6 month	9 month	12 month
11/2013		1,59	1,58	1,61	1,61	1,66	1,76	1,85	1,93
10/2013		1,59	1,59	1,61	1,63	1,69	1,79	1,89	1,98
09/2013		1,61	1,61	1,63	1,66	1,71	1,84	1,95	2,05
08/2013		1,61	1,62	1,63	1,67	1,72	1,81	1,90	1,97
07/2013		1,60	1,60	1,61	1,64	1,69	1,76	1,84	1,91
06/2013		1,64	1,65	1,66	1,69	1,73	1,83	1,90	1,97
05/2013		1,68	1,68	1,70	1,72	1,76	1,85	1,93	2,02
04/2013		1,73	1,75	1,77	1,78	1,82	1,89	1,97	2,07
03/2013		1,75	1,76	1,78	1,82	1,85	1,95	2,05	2,17
02/2013		1,76	1,77	1,81	1,85	1,90	2,03	2,16	2,27
01/2013		1,72	1,75	1,80	1,83	1,86	1,99	2,11	2,23
12/2012		1,74	1,75	1,82	1,81	1,87	2,03	2,16	2,29
11/2012		1,73	1,75	1,81	1,89	1,92	2,10	2,23	2,34
10/2012		1,70	1,73	1,78	1,83	1,92	2,12	2,24	2,36
09/2012		1,69	1,72	1,81	1,87	1,96	2,21	2,34	2,46
08/2012		1,72	1,76	1,86	1,98	2,13	2,40	2,53	2,65
07/2012		1,74	1,80	1,93	2,05	2,24	2,50	2,64	2,75
06/2012		1,84	1,89	2,01	2,13	2,34	2,65	2,84	2,99
05/2012		1,78	1,81	1,94	2,08	2,32	2,69	2,91	3,10
04/2012		1,84	1,88	1,95	2,10	2,32	2,68	2,88	3,07
03/2012		1,89	1,94	2,05	2,22	2,43	2,76	2,94	3,12
02/2012		2,02	2,10	2,26	2,45	2,67	2,98	3,18	3,35
01/2012		1,94	2,02	2,31	2,51	2,70	2,99	3,17	3,31
12/2011		2,31	2,52	2,84	2,92	3,02	3,17	3,29	3,44
11/2011	2,25	2,45	2,56	2,85	3,03	3,16	3,28	3,36	3,51
10/2011	2,36	2,52	2,63	2,85	2,92	3,08	3,32	3,47	3,62
09/2011	2,36	2,50	2,61	2,88	2,97	3,08	3,27	3,38	3,57
08/2011	2,42	2,57	2,65	2,89	2,99	3,10	3,31	3,49	3,70
07/2011	2,44	2,50	2,53	2,65	2,78	2,94	3,26	3,48	3,71
06/2011	2,56	2,61	2,63	2,68	2,72	2,85	3,13	3,36	3,60
05/2011	2,44	2,46	2,54	2,59	2,63	2,72	2,96	3,19	3,43
04/2011	2,24	2,27	2,33	2,40	2,53	2,69	2,93	3,17	3,42
03/2011	2,22	2,29	2,34	2,38	2,46	2,62	2,84	3,08	3,30
02/2011	2,22	2,30	2,34	2,39	2,47	2,61	2,82	3,03	3,22
01/2011	2,17	2,28	2,33	2,39	2,47	2,59	2,80	2,98	3,15
12/2010	2,08	2,30	2,34	2,42	2,49	2,59	2,70	2,83	2,98
11/2010	2,25	2,30	2,32	2,36	2,42	2,51	2,66	2,75	2,91
10/2010	2,26	2,32	2,36	2,36	2,44	2,56	2,74	2,88	3,01
09/2010	2,30	2,34	2,40	2,45	2,52	2,64	2,89	3,02	3,16
08/2010	2,31	2,40	2,43	2,48	2,55	2,65	2,91	3,03	3,17
07/2010	2,34	2,45	2,46	2,52	2,59	2,69	2,89	3,03	3,16
06/2010	2,28	2,33	2,36	2,49	2,56	2,67	2,87	3,01	3,10
05/2010	2,09	2,16	2,17	2,22	2,33	2,50	2,82	2,86	2,97
04/2010	2,02	2,08	2,08	2,09	2,24	2,39	2,69	2,77	2,87
03/2010	1,96	2,00	2,02	2,01	2,12	2,30	2,64	2,76	2,90
02/2010	1,98	2,05	2,02	2,01	2,11	2,27	2,64	2,78	2,93
01/2010	1,95	2,05	2,01	2,04	2,12	2,25	2,67	2,82	2,98
12/2009	1,83	1,85	1,86	1,88	1,98	2,08	2,48	2,69	2,88
11/2009	1,74	1,80	1,79	1,78	1,91	2,05	2,46	2,76	3,02
10/2009	1,54	1,66	1,68	1,75	1,87	2,03	2,51	2,82	3,09
09/2009	1,47	1,61	1,60	1,61	1,76	1,93	2,40	2,75	3,01
08/2009	1,51	1,63	1,61	1,61	1,75	1,88	2,28	2,53	2,72
07/2009	1,53	1,61	1,60	1,67	1,77	1,87	2,19	2,30	2,45
06/2009	1,75	1,87	1,87	1,88	1,96	2,10	2,31	2,46	2,57
05/2009	1,87	2,04	2,03	2,08	2,23	2,40	2,54	2,66	2,75
04/2009	2,52	2,66	2,65	2,66	2,74	2,87	2,84	2,82	2,87
03/2009	2,69	2,81	2,78	2,99	3,08	3,17	3,02	2,91	2,91
02/2009	3,03	3,26	3,25	3,41	3,40	3,48	3,22	3,01	2,97
01/2009	3,48	3,73	3,59	3,64	3,66	3,70	3,44	3,27	3,25
12/2008	4,76	4,68	4,60	4,43	4,62	4,64	4,19	3,99	3,92
11/2008	5,09	5,34	5,22	5,60	6,00	6,19	5,96	5,70	5,61
10/2008	6,72	6,87	6,85	7,30	7,00	6,92	6,93	6,70	6,69
09/2008	6,26	6,43	6,48	6,55	6,71	6,82	6,97	6,95	7,00
08/2008	6,11	6,09	6,14	6,16	6,34	6,53	6,81	6,82	6,81
07/2008	6,08	6,08	6,14	6,11	6,29	6,46	6,81	6,86	6,90
