A;B;C;D;E;F;G;I;J;K;L
0.10196011;0.092488642;0.074420351;0.103023263;0.044345898;0.092726787;0.098316361;0.227849881;0.083932065;0.106686359;0.024725699
0.08566079;0.093989818;0.085886342;0.060668324;0.139065817;0.05712743;0.056086991;0.202371552;0.059971572;0.063382275;0.04888034
-0.011353837;0.000667832;0.002843902;-0.012771416;0.001634833;0.007659498;-0.000907384;0.057583583;0.01121116;-0.036226695;0.057978032
0.032853612;0.039175476;0.046341235;0.027031083;0.04952381;0.026069805;0.018711815;0.007866702;0.02230525;0.05784178;0.015666592
0.095566503;0.093338827;0.083652989;0.065529555;0.078947368;0.103862462;0.095080981;0.129313769;0.087786479;0.082688719;0.053856516
0.06294964;0.063629233;0.062479187;0.062649544;0.084945332;0.064995169;0.07115772;0.118505817;0.077262677;0.09847036;0.112844814
-0.065022964;-0.044693472;-0.046812191;-0.036879942;-0.048062016;-0.036425799;-0.034742227;-0.026279273;-0.04969866;-0.05392906;-0.04913393
0.117502585;0.109188126;0.11859496;0.124141757;0.07980456;0.122121585;0.118307936;0.108916608;0.155511061;0.108903515;0.119803584
-0.07426258;-0.040858071;-0.054611948;-0.056949175;-0.034690799;-0.040794058;-0.052590398;-0.049125509;-0.056951228;-0.027776777;-0.01525779
0.077595902;0.054845999;0.082370594;0.048594642;0.0078125;0.064380958;0.091806217;0.02420883;0.065333951;0.096537627;0.067056017
0.102534019;0.087716646;0.073087772;0.095969154;0.068992248;0.098121727;0.103441803;0.102424693;0.120807517;0.169807583;0.100489223
0.005402098;0.002598078;0.004912356;0.004157249;0;0.01231705;0.005355097;0.00098275;0.012039185;-0.019632512;0.026296321
-0.069405815;-0.051735413;-0.050754585;-0.066726288;0.007976795;-0.050366119;-0.057011957;-0.054950772;-0.084142295;-0.075014987;-0.045085225
0.002241543;-0.00651234;-0.003178742;-0.001039064;-0.041007194;-0.010530071;-0.011989431;0.012527521;-0.007796622;0.013420654;-0.030246014
-0.006438495;0.001144163;-0.002617507;0.003720566;-0.019504876;-0.012532857;0.014692619;-0.002762256;-0.001533389;0.012139431;-0.001153338
-0.047407913;-0.048534586;-0.04799292;-0.047152146;-0.043265892;-0.022960759;-0.046334334;-0.043168911;-0.054895363;-0.059905683;-0.016767654
0.049767275;0.062109972;0.064437761;0.050949586;0.045751634;0.055335073;0.066395906;0.049474154;0.050430984;0.044044489;-0.017038677
-0.019440655;-0.011736289;-0.011396669;-0.013851341;0.00859375;-0.016705453;-0.014050114;0.007118101;0.000905763;0.005947376;0.007009168
-0.07373913;-0.077221963;-0.0798758;-0.075718417;-0.059643687;-0.062495343;-0.067273446;-0.067367704;-0.088188625;-0.074577779;-0.013713279
0.011641006;0.007533568;0.005654454;0.012166328;0.00247117;0.015372839;0.008258443;0.014665198;0.020644594;0.009928231;0.024417525
0.022890374;0.036763396;0.041299441;0.038183001;0.004930156;0.029815621;0.046807547;0.036426855;0.0208303;0.018652013;0.011141112
0.062537801;0.058975158;0.062742629;0.051701524;0.043336059;0.061064646;0.058394001;0.027592465;0.050254269;0.041682918;0.046397176
0.003510658;-0.006332602;-0.009958026;-0.013747079;0.002351097;-0.002418482;0.000520938;-0.000553619;0.006626178;0.0199515;0.043472177
-0.023538961;-0.014259899;-0.016408056;-0.01507987;-0.00938233;-0.030335819;-0.029825396;0.023388952;-0.024572981;-0.014534525;0.014100424
-0.053675336;-0.045122502;-0.044707852;-0.045642633;-0.029992107;-0.032476148;-0.052222507;-0.029650615;-0.060522606;-0.045695394;-0.035784628
0.078428912;0.08089273;0.077397791;0.082036152;0.102522376;0.07966225;0.074311247;0.060369442;0.08215733;0.06570003;0.073758123
0.031417268;0.031607233;0.025872622;0.020677233;0.04501845;0.046317391;0.019851892;0.036824895;0.017868789;0.021115192;0.006447124
0.022450361;0.025600975;0.026356882;0.040163305;0.062504622;0.026845874;0.036800527;0.005665744;0.035315012;0.037264723;0.056599371
0.02537791;0.02614636;0.026396893;0.022080494;0.045298559;0.013897509;0.015935574;0.012024578;0.02632199;0.025396109;0.031492624
0.008823846;0.007213468;0.009167319;0.002511144;0.089954038;-0.000927559;0.013634572;0.022600132;0.000376297;0.003087888;0.129124142
0.018453333;0.015961224;0.013117803;0.015397623;0.025301205;0.027020752;0.021225865;0.002898021;0.044115203;0.01442832;0.018742305
-0.046397151;-0.038012452;-0.035283778;-0.042661571;-0.001762632;-0.020419347;-0.032472681;-0.06435501;-0.053459638;-0.039904645;-0.090280164
0.008896211;0.002110567;-0.002326222;0.009282155;0.027663331;0.003982765;0.005197276;0.023956643;0.006802096;0.012174244;0.019847726
0.016220335;0.015600112;0.016910698;0.019083427;0.077892325;0.006935043;0.014785896;0.0328673;0.020222465;0.013334472;0.089106193
0.024738266;0.019337348;0.020040806;0.020305309;0.091923486;0.012179574;0.010293383;0.048960131;0.040224843;0.032611781;0.051817781
0.022833974;0.019737335;0.016350572;0.02590845;0.066180049;0.021213315;0.004906225;0.036086029;0.051668553;0.037207118;0.221009018
0.017421239;0.004901813;0.0061743;0.003412768;-0.037425833;0.006693993;0.012326938;0.009291067;0.017775835;0.012109668;-0.052623534
0.084486825;0.06645089;0.066279256;0.078547909;0.02323376;0.052278279;0.066649229;0.06794715;0.062964803;0.063165382;0.049672324
0.011818096;0.008997759;0.007325675;0.009792145;0.015291937;0.014177732;0.014445504;0.034316493;0.010210733;0.014162642;0.002325303
0.005512988;0.012636989;0.0148992;-0.000361544;-0.016689599;0.004900956;0.005353419;0.019933793;0.005864584;0.005126658;-0.050053154
-0.037542979;-0.03680575;-0.032747596;-0.028017163;-0.008538899;-0.024387091;-0.03115998;-0.006956393;-0.034947246;-0.027445785;-0.021561764
0.023945158;0.024114039;0.023663154;0.013904919;0.033492823;0.006187273;0.000260397;-0.007338756;0.015691466;0.014420533;0.072338441
0.030174446;0.018243094;0.01884487;0.020788184;0;0.031264279;0.015068112;0.007168968;0.019433332;0.024124142;0.013648622
0.049061785;0.018174192;0.017016026;0.035074464;0.072222222;0.026712409;0.023760904;0.022621578;0.060661081;0.030236389;0.03945942
0.091266033;0.066413821;0.056906084;0.06534029;0.087651123;0.078952891;0.09652407;0.092704564;0.085016638;0.070183695;0.108631573
0.016065403;0.039130254;0.036995073;0.04405056;0.03473243;0.036276488;0.049699888;0.048312008;0.038664033;0.049263765;0.004953628
0.127281187;0.07646842;0.078314246;0.099375352;0.155460552;0.100795259;0.093189533;0.10853915;0.107468266;0.10344417;0.162054707
0.004927164;0.00167956;0.003700899;-0.00315083;0.024890683;0.000867493;-0.0114351;-0.010928596;0.025677632;-0.002272093;0.079497946
0.019683081;0.014868211;0.009387812;-0.001347271;0.027896291;0.003613782;-8.81674E-05;0.019206504;0.027238573;0.008946369;-0.032355976
0.018675958;0.020895104;0.022615226;0.016344156;-0.071200511;0.015029121;-0.009539597;0.005845374;0.008381763;0.018015927;-0.075090132
0.063414968;0.054950545;0.055660956;0.047835383;0.045032657;0.057915666;0.040260218;0.083302357;0.051630895;0.054476685;0.021800223
0.036281763;0.035038548;0.038695111;0.038148608;0.020522087;0.042608269;0.019513797;0.048265126;0.029847233;0.03711382;-0.000392115
