DATES,FOLIO.NOM,RESERVE.NOM,DLAAN.NOM,NOWA.RATE,NOWA.VOLUME
1986,ND,ND,14.16,ND,ND
1987,ND,ND,13.90,ND,ND
1988,ND,ND,13.08,ND,ND
1989,ND,ND,10.60,ND,ND
1990,ND,ND,10.82,ND,ND
1991,8.34,ND,9.94,ND,ND
1992,9.50,ND,10.64,ND,ND
1993,6.50,ND,7.95,ND,ND
1994,4.78,ND,6.78,ND,ND
1995,4.75,ND,6.75,ND,ND
1996,4.48,ND,6.48,ND,ND
1997,3.38,ND,5.38,ND,ND
1998,5.51,ND,7.51,ND,ND
1999,6.35,ND,8.35,ND,ND
2000,6.22,ND,8.22,ND,ND
2001,6.98,ND,8.98,ND,ND
2002,6.73,ND,8.73,ND,ND
2003,4.21,ND,6.21,ND,ND
2004,1.82,ND,3.82,ND,ND
2005,1.92,ND,3.92,ND,ND
2006,2.74,ND,4.74,ND,ND
2007,4.38,ND,5.59,ND,ND
2008,5.32,ND,6.32,ND,ND
2009,1.75,ND,2.75,ND,ND
2010,1.92,ND,2.92,ND,ND
2011,2.14,1.16,3.14,ND,ND
2012,1.55,0.55,2.55,1.55,13167
2013,1.50,0.50,2.50,1.50,12214
2014,1.49,0.49,2.49,1.48,12535
2015,1.05,0.05,2.05,1.04,14749
2016,0.55,-0.45,1.55,0.56,15099
2017,0.50,-0.50,1.50,0.49,17574
2018,0.57,-0.43,1.57,0.58,18805
2019,1.15,0.15,2.15,1.16,15783
2020,0.36,-0.64,1.36,0.35,18488

