DATES,FOLIO.NOM,RESERVE.NOM,DLAAN.NOM,NOWA.RATE,NOWA.VOLUME
Jan-86,ND,ND,12.02,ND,ND
Feb-86,ND,ND,13.57,ND,ND
Mar-86,ND,ND,13.00,ND,ND
Apr-86,ND,ND,13.00,ND,ND
May-86,ND,ND,19.47,ND,ND
Jun-86,ND,ND,14.00,ND,ND
Jul-86,ND,ND,14.00,ND,ND
Aug-86,ND,ND,14.00,ND,ND
Sep-86,ND,ND,14.00,ND,ND
Oct-86,ND,ND,14.00,ND,ND
Nov-86,ND,ND,14.00,ND,ND
Dec-86,ND,ND,15.37,ND,ND
Jan-87,ND,ND,14.76,ND,ND
Feb-87,ND,ND,14.02,ND,ND
Mar-87,ND,ND,13.80,ND,ND
Apr-87,ND,ND,13.80,ND,ND
May-87,ND,ND,13.80,ND,ND
Jun-87,ND,ND,13.80,ND,ND
Jul-87,ND,ND,13.80,ND,ND
Aug-87,ND,ND,13.80,ND,ND
Sep-87,ND,ND,13.80,ND,ND
Oct-87,ND,ND,13.80,ND,ND
Nov-87,ND,ND,13.80,ND,ND
Dec-87,ND,ND,13.80,ND,ND
Jan-88,ND,ND,13.80,ND,ND
Feb-88,ND,ND,13.80,ND,ND
Mar-88,ND,ND,13.80,ND,ND
Apr-88,ND,ND,13.80,ND,ND
May-88,ND,ND,13.43,ND,ND
Jun-88,ND,ND,12.96,ND,ND
Jul-88,ND,ND,12.80,ND,ND
Aug-88,ND,ND,12.80,ND,ND
Sep-88,ND,ND,12.80,ND,ND
Oct-88,ND,ND,12.69,ND,ND
Nov-88,ND,ND,12.40,ND,ND
Dec-88,ND,ND,12.04,ND,ND
Jan-89,ND,ND,11.64,ND,ND
Feb-89,ND,ND,11.23,ND,ND
Mar-89,ND,ND,11.00,ND,ND
Apr-89,ND,ND,11.00,ND,ND
May-89,ND,ND,10.61,ND,ND
Jun-89,ND,ND,10.34,ND,ND
Jul-89,ND,ND,10.00,ND,ND
Aug-89,ND,ND,10.00,ND,ND
Sep-89,ND,ND,10.00,ND,ND
Oct-89,ND,ND,10.00,ND,ND
Nov-89,ND,ND,10.50,ND,ND
Dec-89,ND,ND,11.00,ND,ND
Jan-90,ND,ND,11.00,ND,ND
Feb-90,ND,ND,11.00,ND,ND
Mar-90,ND,ND,11.00,ND,ND
Apr-90,ND,ND,11.00,ND,ND
May-90,ND,ND,11.00,ND,ND
Jun-90,ND,ND,11.00,ND,ND
Jul-90,ND,ND,11.00,ND,ND
Aug-90,ND,ND,10.89,ND,ND
Sep-90,ND,ND,10.50,ND,ND
Oct-90,ND,ND,10.50,ND,ND
Nov-90,ND,ND,10.50,ND,ND
Dec-90,ND,ND,10.50,ND,ND
Jan-91,8.50,ND,10.50,ND,ND
Feb-91,8.50,ND,10.50,ND,ND
Mar-91,8.50,ND,10.37,ND,ND
Apr-91,8.48,ND,10.04,ND,ND
May-91,8.20,ND,9.70,ND,ND
Jun-91,8.00,ND,9.50,ND,ND
Jul-91,8.00,ND,9.50,ND,ND
Aug-91,8.00,ND,9.50,ND,ND
Sep-91,8.19,ND,9.69,ND,ND
Oct-91,8.50,ND,10.00,ND,ND
Nov-91,8.50,ND,10.00,ND,ND
Dec-91,8.50,ND,10.00,ND,ND
Jan-92,9.73,ND,10.00,ND,ND
Feb-92,10.00,ND,10.00,ND,ND
Mar-92,10.00,ND,10.00,ND,ND
Apr-92,9.00,ND,10.00,ND,ND
May-92,9.00,ND,10.00,ND,ND
Jun-92,9.00,ND,10.00,ND,ND
Jul-92,9.00,ND,10.00,ND,ND
Aug-92,9.00,ND,10.00,ND,ND
Sep-92,10.60,ND,10.80,ND,ND
Oct-92,10.87,ND,11.00,ND,ND
Nov-92,9.15,ND,14.36,ND,ND
Dec-92,9.00,ND,12.86,ND,ND
Jan-93,9.00,ND,10.30,ND,ND
Feb-93,8.52,ND,9.53,ND,ND
Mar-93,7.90,ND,8.90,ND,ND
